OID_,IN_FID,Cnt_IN_FID,Ave_COUNT
,129,8,2.375000000000000
,130,8,0.000000000000000
,131,8,0.000000000000000
,132,8,0.000000000000000
,133,8,0.125000000000000
,134,8,0.000000000000000
,135,8,0.125000000000000
,136,8,0.000000000000000
,137,8,0.000000000000000
,138,8,0.125000000000000
,139,8,0.375000000000000
,140,8,0.500000000000000
,141,8,0.375000000000000
,142,8,0.125000000000000
,143,8,0.000000000000000
,144,8,1.250000000000000
,145,8,1.625000000000000
,146,8,2.250000000000000
,147,8,3.000000000000000
,148,8,3.500000000000000
,149,8,6.000000000000000
,150,8,6.000000000000000
,151,8,5.250000000000000
,152,8,7.500000000000000
,153,8,9.875000000000000
,154,8,12.250000000000000
,155,8,15.125000000000000
,156,8,15.500000000000000
,157,8,12.500000000000000
,158,8,9.875000000000000
,159,8,3.375000000000000
,160,8,0.000000000000000
,161,8,0.000000000000000
,162,8,0.000000000000000
,163,8,0.125000000000000
,164,8,0.125000000000000
,165,8,0.125000000000000
,166,8,0.000000000000000
,167,8,0.000000000000000
,168,8,0.000000000000000
,169,8,0.375000000000000
,170,8,0.625000000000000
,171,8,0.750000000000000
,172,8,0.500000000000000
,173,8,0.000000000000000
,174,8,0.000000000000000
,175,8,0.250000000000000
,176,8,0.250000000000000
,177,8,0.375000000000000
,178,8,0.875000000000000
,179,8,1.125000000000000
,180,8,1.500000000000000
,181,8,1.375000000000000
,182,8,1.375000000000000
,183,8,1.875000000000000
,184,8,2.000000000000000
,185,8,4.375000000000000
,186,8,5.500000000000000
,187,8,7.250000000000000
,188,8,7.625000000000000
,189,8,9.000000000000000
,190,8,8.250000000000000
,191,8,12.000000000000000
,192,8,13.750000000000000
,193,8,17.500000000000000
,194,8,14.500000000000000
,195,8,10.500000000000000
,196,8,3.375000000000000
,197,8,1.375000000000000
,198,8,0.000000000000000
,199,8,0.000000000000000
,200,8,0.000000000000000
,201,8,0.000000000000000
,202,8,0.000000000000000
,203,8,0.000000000000000
,204,8,0.000000000000000
,205,8,0.000000000000000
,206,8,0.625000000000000
,207,8,1.500000000000000
,208,8,1.375000000000000
,209,8,1.125000000000000
,210,8,0.250000000000000
,211,8,0.000000000000000
,212,8,0.000000000000000
,213,8,0.250000000000000
,214,8,0.625000000000000
,215,8,1.000000000000000
,216,8,2.000000000000000
,217,8,1.875000000000000
,218,8,1.875000000000000
,219,8,1.250000000000000
,220,8,1.750000000000000
,221,8,2.250000000000000
,222,8,6.375000000000000
,223,8,7.000000000000000
,224,8,9.000000000000000
,225,8,7.375000000000000
,226,8,8.000000000000000
,227,8,8.625000000000000
,228,8,12.000000000000000
,229,8,16.000000000000000
,230,8,22.250000000000000
,231,8,21.250000000000000
,232,8,15.625000000000000
,233,8,7.625000000000000
,234,8,4.125000000000000
,235,8,2.000000000000000
,236,8,0.000000000000000
,237,8,0.000000000000000
,238,8,0.000000000000000
,239,8,0.000000000000000
,240,8,0.000000000000000
,241,8,0.000000000000000
,242,8,0.000000000000000
,243,8,0.375000000000000
,244,8,1.375000000000000
,245,8,1.375000000000000
,246,8,1.375000000000000
,247,8,0.625000000000000
,248,8,0.000000000000000
,249,8,0.000000000000000
,250,8,0.250000000000000
,251,8,0.875000000000000
,252,8,0.625000000000000
,253,8,1.875000000000000
,254,8,1.500000000000000
,255,8,1.375000000000000
,256,8,1.125000000000000
,257,8,1.750000000000000
,258,8,1.875000000000000
,259,8,5.375000000000000
,260,8,3.875000000000000
,261,8,6.250000000000000
,262,8,4.875000000000000
,263,8,5.500000000000000
,264,8,5.875000000000000
,265,8,7.625000000000000
,266,8,15.750000000000000
,267,8,18.250000000000000
,268,8,20.750000000000000
,269,8,14.125000000000000
,270,8,9.750000000000000
,271,8,3.375000000000000
,272,8,3.000000000000000
,273,8,1.000000000000000
,274,8,0.000000000000000
,275,8,0.000000000000000
,276,8,0.000000000000000
,277,8,0.000000000000000
,278,8,0.000000000000000
,279,8,0.000000000000000
,280,8,0.375000000000000
,281,8,1.250000000000000
,282,8,1.250000000000000
,283,8,1.250000000000000
,284,8,1.000000000000000
,285,8,0.750000000000000
,286,8,1.125000000000000
,287,8,1.500000000000000
,288,8,1.375000000000000
,289,8,1.000000000000000
,290,8,0.750000000000000
,291,8,1.625000000000000
,292,8,1.500000000000000
,293,8,5.125000000000000
,294,8,5.000000000000000
,295,8,6.500000000000000
,296,8,4.875000000000000
,297,8,6.000000000000000
,298,8,6.625000000000000
,299,8,9.000000000000000
,300,8,16.625000000000000
,301,8,21.250000000000000
,302,8,25.250000000000000
,303,8,15.500000000000000
,304,8,11.125000000000000
,305,8,5.375000000000000
,306,8,2.375000000000000
,307,8,1.000000000000000
,308,8,0.000000000000000
,309,8,0.000000000000000
,310,8,1.000000000000000
,311,8,2.875000000000000
,312,8,2.875000000000000
,313,8,1.875000000000000
,314,8,1.250000000000000
,315,8,2.000000000000000
,316,8,2.625000000000000
,317,8,1.500000000000000
,318,8,1.125000000000000
,319,8,1.125000000000000
,320,8,0.875000000000000
,321,8,0.500000000000000
,322,8,0.500000000000000
,323,8,0.125000000000000
,324,8,0.250000000000000
,325,8,1.125000000000000
,326,8,1.000000000000000
,327,8,2.500000000000000
,328,8,1.250000000000000
,329,8,4.000000000000000
,330,8,4.125000000000000
,331,8,6.125000000000000
,332,8,4.375000000000000
,333,8,6.250000000000000
,334,8,11.750000000000000
,335,8,16.500000000000000
,336,8,19.250000000000000
,337,8,14.000000000000000
